Algoritmo,Tamano,Distribucion,Repeticion,Time_ms,Comparaciones,Swaps_Moves,Estable
Insertion,1000,Uniforme,1,0.2760,257754,258760,SI
Merge,1000,Uniforme,1,0.1630,8704,19952,SI
Radix,1000,Uniforme,1,0.0400,NA,10000,SI
Timsort,1000,Uniforme,1,0.0870,13341,19480,SI
Insertion,1000,Uniforme,2,0.2960,250688,251695,SI
Merge,1000,Uniforme,2,0.1510,8699,19952,SI
Radix,1000,Uniforme,2,0.0510,NA,10000,SI
Timsort,1000,Uniforme,2,0.0780,13750,19860,SI
Insertion,1000,Uniforme,3,0.2910,257514,258522,SI
Merge,1000,Uniforme,3,0.1350,8724,19952,SI
Radix,1000,Uniforme,3,0.0420,NA,10000,SI
Timsort,1000,Uniforme,3,0.0750,13569,19685,SI
Insertion,1000,Ordenado,1,0.0030,999,1998,SI
Merge,1000,Ordenado,1,0.0620,5044,19952,SI
Radix,1000,Ordenado,1,0.0270,NA,6000,SI
Timsort,1000,Ordenado,1,0.0120,3528,11936,SI
Insertion,1000,Ordenado,2,0.0030,999,1998,SI
Merge,1000,Ordenado,2,0.0890,5044,19952,SI
Radix,1000,Ordenado,2,0.0260,NA,6000,SI
Timsort,1000,Ordenado,2,0.0130,3528,11936,SI
Insertion,1000,Ordenado,3,0.0030,999,1998,SI
Merge,1000,Ordenado,3,0.0500,5044,19952,SI
Radix,1000,Ordenado,3,0.0260,NA,6000,SI
Timsort,1000,Ordenado,3,0.0120,3528,11936,SI
Insertion,1000,Reverso,1,0.5220,499500,501498,SI
Merge,1000,Reverso,1,0.0610,4932,19952,SI
Radix,1000,Reverso,1,0.0370,NA,8000,SI
Timsort,1000,Reverso,1,0.1200,17844,27340,SI
Insertion,1000,Reverso,2,0.7230,499500,501498,SI
Merge,1000,Reverso,2,0.0650,4932,19952,SI
Radix,1000,Reverso,2,0.0370,NA,8000,SI
Timsort,1000,Reverso,2,0.0380,17844,27340,SI
Insertion,1000,Reverso,3,0.6570,499500,501498,SI
Merge,1000,Reverso,3,0.0660,4932,19952,SI
Radix,1000,Reverso,3,0.0350,NA,8000,SI
Timsort,1000,Reverso,3,0.0400,17844,27340,SI
Insertion,1000,Casi_Ordenado,1,0.0570,32885,33884,SI
Merge,1000,Casi_Ordenado,1,0.0870,7778,19952,SI
Radix,1000,Casi_Ordenado,1,0.0280,NA,6000,SI
Timsort,1000,Casi_Ordenado,1,0.0310,7067,13392,SI
Insertion,1000,Casi_Ordenado,2,0.0980,30621,31620,SI
Merge,1000,Casi_Ordenado,2,0.0960,7802,19952,SI
Radix,1000,Casi_Ordenado,2,0.0280,NA,6000,SI
Timsort,1000,Casi_Ordenado,2,0.0300,7093,13328,SI
